alpha,seed,v_orbit,tau_var,eta_var
3.4,40,0.0,0.0,0.0
3.4,41,0.0,0.0,0.0
3.4,42,0.0,0.0,0.00617283950617284
3.4,43,0.0,0.0,0.0
3.4,44,0.0,0.0,0.00617283950617284
3.4,45,0.0183666208218157,0.3733333333333333,0.06329043209876543
3.4,47,0.0,0.0,0.0
3.4,46,0.19701013422675973,0.7875,0.2494798611111111
3.4,48,0.0,0.0,4.930380657631324e-32
3.4,49,0.0,0.0,0.0
3.6,0,0.0,0.0,0.0
3.6,1,0.0,0.0,0.0
3.6,2,0.0,0.0,0.0
3.6,3,0.0,0.0,0.006172839506172837
3.6,4,0.0,0.0,0.006172839506172837
3.6,5,0.0,0.0,0.0
3.6,6,0.0,0.0,0.0
3.6,7,0.011482498679784382,0.7875,0.13755833333333334
3.6,8,0.0,0.0,0.0
3.6,9,0.0,0.0,0.0
3.6,10,0.0,0.0,0.006172839506172844
3.6,11,0.0,0.0,0.0
3.6,13,0.0,0.0,0.0
3.6,12,0.0,0.0,0.0
3.6,14,0.0,0.0,0.0
3.6,15,0.0,0.0,0.0
3.6,17,0.0,0.0,0.0
3.6,16,0.0,0.0,0.0
3.6,18,0.0,0.0,0.0
3.6,19,0.0,0.0,0.0
3.6,20,0.0,0.0,0.0
3.6,21,0.0,0.0,0.0
3.6,23,0.0075528405430970585,0.7875,0.009649554183813441
3.6,22,0.0,0.0,0.0
3.6,24,0.0,0.0,0.0
3.6,25,0.0,0.0,0.0
3.6,26,0.0,0.0,0.0
3.6,27,0.0,0.0,0.0
3.6,28,0.0,0.0,0.0
3.6,29,0.0,0.0,0.006172839506172827
3.6,30,0.0,0.0,4.930380657631324e-32
3.6,31,0.0,0.0,0.0
3.6,32,0.0,0.0,0.0
3.6,33,0.12428134653326887,0.3733333333333333,0.37208268175583
3.6,34,0.0,0.0,0.0
3.6,37,0.0,0.0,0.0
3.6,36,0.0,0.0,0.0
3.6,35,0.0,0.0,0.0
3.6,38,0.0,0.0,0.0
3.6,40,0.0,0.0,0.0
3.6,39,0.0,0.0,0.0
3.6,41,0.0,0.0,0.0
3.6,42,0.0,0.0,0.00617283950617284
3.6,43,0.0,0.0,0.0
3.6,44,0.0,0.0,0.00617283950617284
3.6,45,0.0,0.0,4.930380657631324e-32
3.6,46,1.0254991304953371,0.7875,1.4556469135802468
3.6,47,0.0,0.0,0.0
3.6,48,0.0,0.0,0.0
3.6,49,0.0,0.0,0.0
3.8,1,0.0,0.0,0.0
3.8,0,0.0,0.0,3.1554436208840472e-30
3.8,2,0.0,0.0,0.0
3.8,3,0.0,0.0,0.006172839506172837
3.8,4,0.0,0.0,0.006172839506172835
3.8,5,0.0,0.0,0.0
3.8,6,0.0,0.0,0.005208333333333339
3.8,7,0.03179074630387977,0.7875,0.09136875000000001
3.8,9,0.0,0.0,0.0
3.8,8,0.0,0.0,0.0
3.8,10,0.0,0.0,0.006172839506172844
3.8,11,0.0,0.0,0.0
3.8,12,0.0,0.0,0.0
3.8,13,0.0,0.0,0.0
3.8,14,0.0,0.0,0.0
3.8,15,0.0,0.0,0.0
3.8,16,0.0,0.0,0.0
3.8,17,0.0,0.0,0.0
3.8,18,0.0,0.0,0.006172839506172835
3.8,19,0.0,0.0,0.00617283950617284
3.8,20,0.0,0.0,0.0
3.8,21,0.0,0.0,0.0
3.8,22,0.0,0.0,0.0
3.8,23,0.0,0.0,0.0
3.8,24,0.0,0.0,0.0
3.8,25,0.0,0.0,0.0
3.8,26,0.0,0.0,0.0
3.8,27,0.0,0.0,0.0
3.8,28,0.023808684794404213,0.7875,0.030580999228395057
3.8,29,0.0,0.0,0.00617283950617284
3.8,30,0.0,0.0,0.0
3.8,31,0.0,0.0,0.0
3.8,32,0.0,0.0,0.0
3.8,33,0.0,0.0,4.930380657631324e-32
3.8,34,0.0,0.0,0.0
3.8,35,0.0,0.0,0.0
3.8,36,0.0,0.0,0.0
3.8,37,0.0,0.0,0.0
3.8,38,0.0,0.0,0.0
3.8,40,0.0,0.0,0.0
3.8,39,0.0,0.0,0.006172839506172836
3.8,41,0.0,0.0,0.0
3.8,42,0.16206136246254552,0.7875,0.24463630829903976
3.8,43,0.0,0.0,0.00617283950617284
3.8,44,0.0,0.0,0.0
3.8,45,0.0,0.0,0.0
3.8,46,0.8128184137681566,0.7875,1.3397301097393688
3.8,47,0.0,0.0,0.0
3.8,48,0.0,0.0,0.0
3.85,1,0.0,0.0,0.0
3.8,49,0.0,0.0,0.0
3.85,0,0.0,0.0,3.1554436208840472e-30
3.85,2,0.0,0.0,0.0
3.85,3,0.0,0.0,0.006172839506172837
3.85,4,0.0,0.0,0.006172839506172846
3.85,5,0.0,0.0,0.0
3.85,6,0.0,0.0,0.0
3.85,7,0.019729766848949948,0.7875,0.09661111111111112
3.85,8,0.0,0.0,0.0
3.85,9,0.0,0.0,0.0
3.85,11,0.0,0.0,0.0
3.85,10,0.0,0.0,0.006172839506172829
3.85,12,0.0,0.0,0.0
3.85,13,0.0,0.0,0.0
3.85,15,0.0,0.0,0.0
3.85,14,0.0,0.0,0.0
3.85,16,0.0,0.0,0.0
3.85,17,0.0,0.0,4.930380657631324e-32
3.85,18,0.0,0.0,0.0
3.85,19,0.0,0.0,0.00617283950617284
3.85,21,0.0,0.0,0.0
3.85,20,0.10823196333959426,0.7875,0.14396265432098765
3.85,22,0.0,0.0,0.0
3.85,23,0.0,0.0,0.0
3.85,24,0.0,0.0,0.0
3.85,25,0.0,0.0,0.0
3.85,26,0.0,0.0,0.0
3.85,28,0.023808684794404213,0.7875,0.030580999228395057
3.85,27,0.0,0.0,0.0
3.85,29,0.0,0.0,0.00617283950617284
3.85,30,0.0,0.0,0.0
3.85,31,0.0,0.0,0.0
3.85,32,0.0,0.0,0.0
3.85,35,0.0,0.0,0.0
3.85,33,0.0,0.0,4.930380657631324e-32
3.85,34,0.0,0.0,0.0
3.85,36,0.0,0.0,0.0
3.85,38,0.0,0.0,0.0
3.85,37,0.0,0.0,0.0
3.85,39,0.0,0.0,0.006172839506172836
3.85,40,0.0,0.0,0.0
3.85,41,0.0,0.0,0.0
3.85,42,0.16206136246254552,0.7875,0.2446363082990398
3.85,43,0.0,0.0,0.00617283950617284
3.85,45,0.0,0.0,0.0
3.85,44,0.0,0.0,0.0
3.85,46,0.8128184137681566,0.7875,1.3397301097393688
3.85,48,0.0,0.0,0.0
3.85,47,0.0,0.0,0.0
3.85,49,0.0,0.0,0.0
3.9,0,0.0005158351726081393,0.1388888888888889,0.871759259259259
3.9,1,0.0,0.0,0.0
3.9,2,0.0,0.0,0.0
3.9,3,0.0,0.0,0.006172839506172837
3.9,4,0.0,0.0,0.006172839506172835
3.9,5,0.0,0.0,0.0
3.9,6,0.0,0.0,0.0
3.9,7,0.019729766848949948,0.7875,0.09661111111111112
3.9,8,0.0,0.0,0.0
3.9,9,0.0,0.0,0.0
3.9,10,0.0,0.0,0.0
3.9,11,0.0,0.0,0.0
3.9,12,0.0,0.0,0.0
3.9,13,0.0,0.0,0.0
3.9,14,0.0,0.0,0.0
3.9,15,0.0,0.0,0.0
3.9,16,0.0,0.0,0.0
3.9,18,0.0,0.0,0.0
3.9,17,0.08317142685811886,0.7875,0.10551319444444442
3.9,19,0.0,0.0,0.00617283950617284
3.9,21,0.0,0.0,0.0
